SPECIES_GROUP,LENGTH,RANGE,ERROR,HX,HY,HZ
Adult_pollock,,371.53,2.499340218,-29.01689001,356.8578169,99.21861958
Adult_pollock,,333.17,1.068825168,56.72909765,327.609448,-21.31718456
Adult_pollock,,219.67,9.290596198,5.113040794,207.7177757,-71.28136136
Adult_pollock,,364.27,0.942534548,23.00460926,362.0602543,32.7712495
Adult_pollock,,260.66,0.384403956,-60.31980793,253.5647434,-2.862868538
Adult_pollock,,291.9,2.144734719,-87.62322148,277.8497641,18.0347488
Adult_pollock,,321.3,1.262974111,-34.1401468,318.6070862,-23.63445325
Adult_pollock,,285.98,0.676370625,-51.32486282,280.5755401,20.65319401
Adult_pollock,,349.82,0.17262146,59.83580894,342.8734648,35.05248768
Adult_pollock,,393.98,0.127928071,62.72750417,388.7279236,13.34425847
Adult_pollock,,402.53,0.418900803,146.9105096,372.0883168,-44.69771805
Adult_pollock,,107.42,0.164757594,46.1271429,95.47432629,-17.18379649
Adult_pollock,,271.89,9.347194564,-68.46782497,249.1718983,-84.56939975
Adult_pollock,,290.93,2.350120582,-27.09946528,287.8860109,-32.04004449
Adult_pollock,,347.93,1.758220485,27.08745184,329.9965472,106.8742291
Adult_pollock,20.85,276.43,0.959247666,-49.71697025,264.8467161,-44.3736077
Adult_pollock,,282.55,1.551671284,-18.23882595,281.304811,19.24009631
Adult_pollock,,313.14,1.991225008,14.90952277,306.9357962,-60.22660964
Adult_pollock,,351.19,1.644517816,-3.739355805,347.8772124,-47.97192835
Adult_pollock,,407.96,1.530916011,94.18786153,396.9389806,-0.726283083
Adult_pollock,,184.26,2.783953875,39.57686922,172.3456699,51.7793684
Adult_pollock,21.03,217.21,1.637642951,69.07183639,198.1635284,1.008839389
Adult_pollock,,179.96,7.260050594,21.06561156,173.4981605,42.88180281
Adult_pollock,,290.43,2.064557748,27.1151882,288.6530037,-17.1920029
Adult_pollock,,219.24,1.697335211,26.41898453,217.5923925,-4.46745657
Adult_pollock,,239.14,2.379147589,92.36063672,216.8273954,-40.51385865
Adult_pollock,21.64,309.05,1.430584718,65.96048035,281.0312087,-65.68339348
Adult_pollock,,277.52,1.839800298,-4.151324188,263.8102762,-86.04681349
Adult_pollock,,319.48,2.61983799,-29.89770798,302.3196125,-98.87628066
Adult_pollock,,110.74,12.02933403,21.39136653,103.5429702,32.94920208
Adult_pollock,,241.07,0.060421722,95.11613909,217.8966366,-39.83526172
Adult_pollock,,226.21,1.065246189,-75.44149326,211.0637821,-30.53804874
Adult_pollock,,239.65,0.885886053,92.43360585,219.7135656,-24.73524635
Adult_pollock,,360.51,1.352552296,-52.70038894,356.6384163,-0.72022682
Adult_pollock,,226.45,1.756023782,-49.06422259,216.9466428,-42.50938295
Adult_pollock,26.13,258.96,0.926367907,71.17103542,228.5684009,7.72924821
Adult_pollock,,262.33,12.31724426,78.62042948,250.2317203,-4.173634074
Adult_pollock,17.6,235.95,1.07101031,-56.61507572,219.2798945,-14.33354582
Adult_pollock,,366.93,1.178098066,-47.40889598,363.3252888,19.62573609
Adult_pollock,,245.65,0.561816725,44.97008713,240.7087226,19.50443664
Adult_pollock,,313.5,1.284055961,41.59485963,310.6624297,6.557166596
Adult_pollock,,221.74,2.153901886,-62.4332883,212.6358455,-7.554286898
Adult_pollock,,264.57,0.792486519,43.16517829,261.0232294,-1.8772683
Adult_pollock,,318.39,1.63841964,-10.86771959,317.8310981,-15.37559194
Adult_pollock,,324,1.716527464,-52.82611016,316.5603476,-44.4277039
Adult_pollock,22.02,290.91,0.245853313,51.88302271,277.2325251,-21.89774764
Adult_pollock,,319.47,1.963031318,-69.59901193,310.8759917,-23.88588471
Adult_pollock,,287.51,0.241400187,56.97464634,281.5538995,11.90886055
Adult_pollock,,324.15,0.901144271,-98.17584686,307.8850475,25.37674165
Adult_pollock,,229.11,1.477937291,6.131353123,216.3019982,-75.29348136
Adult_pollock,20.31,300.84,0.881135384,75.79479586,274.5665755,41.915687
Adult_pollock,,296.91,0.439976548,83.29130673,280.6015348,49.8154237
Adult_pollock,,325.89,0.145118607,-19.90882177,318.6026728,-65.55906882
Adult_pollock,,206.6,3.972615179,-2.230994323,195.9909107,-65.32245859
Adult_pollock,,293.01,1.365418782,84.21781086,279.6962103,23.11737492
Adult_pollock,,286.33,0.642301679,107.560249,265.0064127,-13.67325511
Adult_pollock,,360.65,0.970635144,32.00899848,359.1767687,6.256759187
Adult_pollock,,228.15,1.887810387,-63.72671423,215.5703925,-38.98401625
Adult_pollock,,218.95,1.195991451,-37.22911644,213.9977003,-27.54031924
Adult_pollock,,212.53,1.774880425,-27.9918282,208.7117709,-28.73116275
Adult_pollock,20.8,215.4,0.818583318,5.866043061,213.6900119,-18.32279841
Adult_pollock,,298.67,2.200108844,-56.30265863,293.0941796,-11.39628969
Adult_pollock,,229.92,1.187716876,25.47222279,228.5003824,1.838690424
Adult_pollock,,321.7,1.109709523,-42.47108369,314.4380407,-53.04448006
Adult_pollock,22.97,261.79,1.927109704,2.628692095,258.0263666,70.34156735
Adult_pollock,,195.26,11.54083603,16.79642256,183.7173514,63.96343076
Adult_pollock,19.47,255.54,0.899387254,55.33338177,239.9097047,45.86863659
Adult_pollock,,281.89,0.845551241,24.70095064,271.6804948,71.01752989
Adult_pollock,,224.31,2.701302675,39.60304551,211.4515405,63.51006947
Adult_pollock,,160.52,7.474194509,67.08386333,144.287117,21.18945145
Adult_pollock,,163.45,7.972625051,55.36128484,148.8179165,38.80196419
Adult_pollock,,252.88,3.720322466,57.10888873,239.3096694,58.45169426
Adult_pollock,22.92,280.85,0.222855632,80.32588427,260.0106889,7.918850047
Adult_pollock,,355.4,2.661835348,-2.652483219,346.3027581,-79.86694313
Adult_pollock,,156.05,5.76722137,46.41542418,145.6825773,31.20065501
Adult_pollock,,339.22,0.3956008,58.09060004,330.2608578,51.188869
Adult_pollock,,283.87,13.05332391,76.24844111,264.8359026,68.03395347
Adult_pollock,23.08,154.5,0.641591229,29.25252309,135.7182237,37.20542912
Adult_pollock,,253.16,3.528194682,76.02900806,234.4882101,57.65546559
Adult_pollock,,221.01,4.12431102,28.32645821,210.8800547,59.75479534
Adult_pollock,,188.57,15.20068308,-50.46156833,173.0512153,-55.36352037
Adult_pollock,,158,0.623147092,16.62827977,153.9164416,31.59865214
Adult_pollock,,233.44,1.511632242,-39.3320149,224.2770013,-51.44709611
Adult_pollock,19.29,172.72,0.643382829,-25.61254363,159.3925302,-44.68091867
Adult_pollock,,167.3,0.430175421,19.28575247,158.4087369,-50.24628567
Adult_pollock,,264.96,1.374531698,-28.00566463,259.6989563,-44.46375155
Adult_pollock,,164.82,0.332916322,5.509884192,158.4644474,44.99110569
Adult_pollock,20.68,242.74,0.876346613,76.19849652,209.4394383,-20.49135783
Adult_pollock,,175,1.959266448,64.47266826,159.953134,-29.69704932
Adult_pollock,20.51,158.88,1.378485735,19.7280602,144.8899337,-46.03275221
Adult_pollock,,211.82,0.535239203,61.20787055,192.6355346,-63.3602327
Adult_pollock,,302.78,0.533494661,-57.19291778,296.1175499,26.8004392
Adult_pollock,,368.88,1.178640192,109.7144163,351.5106426,-21.84860106
Adult_pollock,,331.61,12.64148042,-132.088233,304.087095,-7.016676951
Adult_pollock,21.63,315.3,0.671765674,-41.07695033,305.3341524,5.110977871
Adult_pollock,,281.9,1.81237133,-85.85663044,266.3163776,-34.22709065
Adult_pollock,,295.5,1.394139932,-115.423302,271.1112404,22.255158
Adult_pollock,,383.33,2.106857839,32.39344443,377.7790784,-56.33860923
Adult_pollock,,302.3,1.660046497,-49.07228227,295.4989909,-40.70187437
Adult_pollock,,327.53,1.732825094,-27.78072985,326.2287365,8.719205652
Adult_pollock,,310.87,1.123304126,-87.10559483,298.4086563,1.967346712
Adult_pollock,,187.77,0.501305874,42.13985147,174.455191,-55.192087
Adult_pollock,,187.34,1.802115067,40.50679651,177.9255636,-42.41558391
Adult_pollock,17.18,207.83,1.435690245,-40.90899341,197.5589671,-21.32029064
Adult_pollock,,337.58,2.322794604,-54.77098384,333.0823141,4.443105438
Adult_pollock,,332.4,2.066095415,11.62280891,332.1641689,-4.788464191
Adult_pollock,21.41,265.74,0.115903823,69.9229672,234.4032025,51.68129323
Adult_pollock,,269.07,0.334412313,-16.43312912,267.4621734,-24.38868144
Adult_pollock,,332.15,1.732933291,33.92927669,328.4790762,-35.71428114
Adult_pollock,19.89,223.4,0.858023827,50.37998672,209.1281757,-59.04908059
Adult_pollock,22.78,271.09,0.442974658,75.19578351,241.4649196,18.72441374
Adult_pollock,,314.85,1.509207086,10.85626241,309.9365143,-54.35084668
Adult_pollock,,271.15,0.138635845,50.21086693,259.4268242,60.81211746
Adult_pollock,18.22,214.01,0.986240619,8.480082941,210.7463829,8.278773587
Adult_pollock,,290.78,0.941819668,56.46421052,275.4592137,-74.07865832
Adult_pollock,,273.98,1.866782788,25.71942338,259.6139588,-83.69383584
Adult_pollock,,302.14,1.78335025,-70.54217378,285.0735071,-71.03348449
Adult_pollock,,272.86,0.723037994,24.26227368,262.3949568,70.79803847
Adult_pollock,21.92,216.93,1.705724106,22.76852493,209.1557956,0.036549786
Adult_pollock,19.64,168.85,0.762953161,-37.09042668,158.4645142,6.992759825
Adult_pollock,,295.08,1.541435577,-47.77482196,289.4729471,-31.55429743
Adult_pollock,,299.89,1.414459956,80.42884547,287.645452,-26.95351947
Adult_pollock,,379.37,1.362833058,-71.99621816,367.9050181,58.19519044
Adult_pollock,,186.59,1.43251156,2.070679238,186.5820496,0.446518389
Adult_pollock,21.34,175.17,0.873422094,8.917630053,178.8599987,-43.50826143
Adult_pollock,,314.12,1.202036267,-27.15857352,311.5964728,29.01702396
Adult_pollock,,210.22,32.38638545,-48.35210602,194.7209813,62.76210738
Adult_pollock,20.5,177.87,1.608715796,8.124821614,168.5660673,-38.37814613
Adult_pollock,,193.26,4.793192626,79.96251023,173.8129257,27.29218594
Adult_pollock,18.99,231.01,0.794554274,47.87163837,219.8681337,4.233120025
Adult_pollock,,329.57,1.390714323,-29.88739231,321.4830622,66.12124701
Adult_pollock,,200.13,0.654567869,79.42256789,181.2446373,29.90643606
Adult_pollock,,283.36,1.46348693,-101.3851457,264.587187,2.674018935
Adult_pollock,,284.38,1.359280896,14.7624587,270.3386211,87.02192162
Adult_pollock,22.11,214.38,0.419564582,66.89641152,189.8301287,-22.65166988
Adult_pollock,,362.95,0.289981142,14.99922489,362.6013512,-5.076859051
Adult_pollock,,291.86,0.965996743,-115.3890942,266.2971879,-30.86640606
Adult_pollock,,382.49,2.928575131,-94.76644356,360.0407729,-87.70464715
Adult_pollock,,351.43,0.951519033,-104.2928386,334.8999294,-21.70701045
Adult_pollock,,196.7,0.175140948,61.84759711,184.1312889,-31.02290978
Adult_pollock,,247.78,0.934885987,-84.29222195,229.9161157,-37.78885347
Adult_pollock,22.54,202.34,0.769982546,65.92085463,173.9786837,-12.10077099
Adult_pollock,,267.11,1.723449066,-60.88516001,258.999986,-23.64003312
Adult_pollock,17.45,197.01,2.195075391,62.85210391,170.6257355,35.64365116
Adult_pollock,,287.74,2.000112869,-44.73157564,283.1207717,25.18535654
Adult_pollock,,272.1,1.711619732,-8.80344392,271.4220949,-17.01774658
Adult_pollock,,371.68,1.421569539,36.56371746,364.5872733,-62.35661852
