deployment_id,range,dist_cov
Day 5:103:D2D31T103,251.03,3.59504400830455
Day 5:103:D2D31T103,227.77,3.59504400830455
Day 5:103:D2D31T103,327.13,3.59504400830455
Day 5:103:D2D31T103,405.66,3.59504400830455
Day 5:103:D2D31T103,289.99,3.59504400830455
Day 5:103:D2D31T103,96.89,3.59504400830455
Day 5:103:D2D31T103,147.98,3.59504400830455
Day 5:103:D2D31T103,581.28,3.59504400830455
Day 5:103:D2D31T103,673.48,3.59504400830455
Day 5:103:D2D31T103,173.16,3.59504400830455
Day 5:103:D2D31T103,258.63,3.59504400830455
Day 5:103:D2D31T103,575.86,3.59504400830455
Day 5:103:D2D31T103,415.01,3.59504400830455
Day 5:103:D2D31T103,402.09,3.59504400830455
Day 5:103:D2D31T103,262.39,3.59504400830455
Day 5:103:D2D31T103,251.66,3.59504400830455
Day 5:103:D2D31T103,200.29,3.59504400830455
Day 5:103:D2D31T103,253.58,3.59504400830455
Day 5:103:D2D31T103,446.06,3.59504400830455
Day 5:103:D2D31T103,564.33,3.59504400830455
Day 5:105:D2D34T105,216.96,4.43557997328547
Day 5:105:D2D34T105,246.38,4.43557997328547
Day 5:105:D2D34T105,251.93,4.43557997328547
Day 5:105:D2D34T105,151.95,4.43557997328547
Day 5:105:D2D34T105,262.78,4.43557997328547
Day 5:105:D2D34T105,244.61,4.43557997328547
Day 5:105:D2D34T105,366.24,4.43557997328547
Day 5:105:D2D34T105,293.7,4.43557997328547
Day 5:105:D2D34T105,177.54,4.43557997328547
Day 5:105:D2D34T105,426.38,4.43557997328547
Day 5:105:D2D34T105,133.02,4.43557997328547
Day 5:105:D2D34T105,172.78,4.43557997328547
Day 5:105:D2D34T105,282.44,4.43557997328547
Day 5:105:D2D34T105,285.77,4.43557997328547
Day 5:105:D2D34T105,127.22,4.43557997328547
Day 5:105:D2D34T105,143.1,4.43557997328547
Day 5:105:D2D34T105,172.12,4.43557997328547
Day 5:105:D2D34T105,155.65,4.43557997328547
Day 5:105:D2D34T105,195.04,4.43557997328547
Day 5:105:D2D34T105,272.28,4.43557997328547
Day 5:105:D2D34T105,201.88,4.43557997328547
Day 5:105:D2D34T105,151.88,4.43557997328547
Day 5:105:D2D34T105,131.63,4.43557997328547
Day 5:105:D2D34T105,217.09,4.43557997328547
Day 5:105:D2D34T105,196.54,4.43557997328547
Day 5:105:D2D34T105,150.87,4.43557997328547
Day 5:105:D2D34T105,131.07,4.43557997328547
Day 5:105:D2D34T105,195.22,4.43557997328547
